# index, name, _pos
490,2760,"array([4.18775924, 0.96024167])"
491,2761,"array([4.19395432, 0.95743758])"
492,2781,"array([4.19870898, 0.96769193])"
493,2792,"array([4.19335212, 0.96613377])"
494,2809,"array([4.19308151, 0.95130037])"
495,2842,"array([4.21817541, 0.95468034])"
496,2853,"array([4.19640913, 0.96611109])"
497,2854,"array([4.18907576, 0.96651624])"
498,2857,"array([4.19083424, 0.95526544])"
499,2860,"array([4.19746725, 0.95857347])"
500,2875,"array([4.18890976, 0.95892826])"
501,2895,"array([4.20495133, 0.96572396])"
502,2898,"array([4.19955042, 0.96365958])"
503,2906,"array([4.20270674, 0.96989543])"
504,2929,"array([4.19707213, 0.95556774])"
505,2938,"array([4.19468956, 0.96624277])"
506,2955,"array([4.18398705, 0.94512705])"
507,2964,"array([4.20746413, 0.97251769])"
508,2968,"array([4.19529954, 0.96445323])"
509,2969,"array([4.19791944, 0.96447251])"
510,2972,"array([4.18773853, 0.95601728])"
511,2977,"array([4.20832382, 0.96098894])"
512,2978,"array([4.18917966, 0.9453436 ])"
513,2990,"array([4.20092963, 0.96130627])"
514,2991,"array([4.20489349, 0.96345857])"
515,3019,"array([4.1963979 , 0.95974198])"
516,3023,"array([4.19823322, 0.96292131])"
517,3025,"array([4.20125045, 0.97278986])"
518,3047,"array([4.20408722, 0.96522128])"
519,3058,"array([4.19033638, 0.95811603])"
520,3063,"array([4.20250943, 0.96666101])"
521,3082,"array([4.20366996, 0.95857451])"
522,3113,"array([4.19996277, 0.96639174])"
523,3116,"array([4.199668  , 0.96249208])"
524,3121,"array([4.19318632, 0.94039   ])"
525,3126,"array([4.20196959, 0.95274741])"
526,3129,"array([4.19392628, 0.95920232])"
527,3133,"array([4.18638655, 0.95841432])"
528,3137,"array([4.19422435, 0.95562465])"
529,3140,"array([4.18212654, 0.96054793])"
530,3153,"array([4.19873006, 0.95487055])"
531,3176,"array([4.21911443, 0.95555505])"
532,3177,"array([4.1913203, 0.9713327])"
533,3178,"array([4.20234604, 0.95704347])"
534,3188,"array([4.20038623, 0.95578706])"
535,3191,"array([4.19109021, 0.94582424])"
536,3193,"array([4.19721491, 0.96280942])"
537,3197,"array([4.19312021, 0.96837113])"
538,3208,"array([4.21374739, 0.96602443])"
539,3228,"array([4.19845108, 0.9685309 ])"
540,3229,"array([4.20422413, 0.96681236])"
541,3230,"array([4.20004871, 0.96405787])"
542,3267,"array([4.19583804, 0.96968144])"
543,3276,"array([4.18913877, 0.97005578])"
544,3280,"array([4.19801792, 0.95442951])"
545,3286,"array([4.19312867, 0.96707221])"
546,3289,"array([4.18124419, 0.96431743])"
547,3323,"array([4.2185876 , 0.96855471])"
548,3331,"array([4.20014787, 0.96804315])"
549,3333,"array([4.20843203, 0.96237652])"
550,3336,"array([4.20595644, 0.96426343])"
551,3344,"array([4.18962155, 0.97180631])"
552,3360,"array([4.19949984, 0.97005071])"
553,3365,"array([4.21090162, 0.96552452])"
554,3388,"array([4.19564426, 0.95040742])"
555,3391,"array([4.20758796, 0.9633564 ])"
556,3397,"array([4.20151571, 0.96982831])"
557,3402,"array([4.1995502 , 0.96409984])"
558,3431,"array([4.19420951, 0.96790316])"
559,3449,"array([4.21689614, 0.95087666])"
560,3461,"array([4.19898682, 0.96440016])"
561,3467,"array([4.19154411, 0.96294225])"
562,3480,"array([4.18804524, 0.95990677])"
563,3490,"array([4.20568856, 0.94669687])"
564,3518,"array([4.20585326, 0.96482547])"
565,3521,"array([4.19944428, 0.94900878])"
566,3523,"array([4.19886873, 0.96738884])"
567,3564,"array([4.20551265, 0.96003718])"
568,3568,"array([4.19370098, 0.95577168])"
569,3569,"array([4.20254732, 0.96472503])"
570,3575,"array([4.20188061, 0.94009028])"
571,3588,"array([4.21766729, 0.95111668])"
572,3596,"array([4.19585256, 0.955956  ])"
573,3599,"array([4.20305485, 0.96792619])"
574,3621,"array([4.19830949, 0.96744857])"
575,3625,"array([4.19187918, 0.96636581])"
576,3642,"array([4.18080023, 0.96849437])"
577,3648,"array([4.20355781, 0.9576532 ])"
578,3676,"array([4.19162032, 0.98141587])"
579,3681,"array([4.19531464, 0.9699092 ])"
580,3686,"array([4.2028636 , 0.96152232])"
581,3702,"array([4.19569635, 0.95541925])"
582,3716,"array([4.21903561, 0.96838973])"
583,3723,"array([4.21199301, 0.97401429])"
584,3726,"array([4.19901937, 0.95620771])"
585,3732,"array([4.20476532, 0.97386572])"
586,3735,"array([4.20333204, 0.96123773])"
587,3754,"array([4.18705861, 0.95694196])"
588,3772,"array([4.19828031, 0.95457757])"
589,3783,"array([4.19748178, 0.94051114])"
590,3810,"array([4.20872793, 0.96752164])"
591,3812,"array([4.19281447, 0.96051542])"
592,3832,"array([4.19310889, 0.9702262 ])"
593,3840,"array([4.21316159, 0.94797052])"
594,3849,"array([4.19210421, 0.9734752 ])"
595,3862,"array([4.20689564, 0.9557648 ])"
596,3866,"array([4.2017102 , 0.96037715])"
597,3880,"array([4.20980496, 0.9606025 ])"
598,3883,"array([4.19385131, 0.94802168])"
599,3897,"array([4.21500467, 0.9485891 ])"
600,3922,"array([4.19891745, 0.96974408])"
601,3924,"array([4.19879086, 0.96246569])"
602,3943,"array([4.19689481, 0.96727656])"
603,3950,"array([4.21938059, 0.96316946])"
604,3951,"array([4.19362016, 0.96396148])"
605,3957,"array([4.20008297, 0.97232044])"
606,3962,"array([4.19833763, 0.9619964 ])"
607,3965,"array([4.21152125, 0.9504802 ])"
608,3970,"array([4.20532638, 0.9656205 ])"
609,3977,"array([4.19234927, 0.96948987])"
610,3981,"array([4.20389135, 0.94110962])"
