# index, name, _pos
363,1009,"array([ 1.62136798, -0.43921369])"
364,1021,"array([ 1.67038611, -0.40816203])"
365,1023,"array([ 1.63217306, -0.42889525])"
366,1029,"array([ 1.65547536, -0.44941811])"
367,1030,"array([ 1.66022894, -0.48825596])"
368,1031,"array([ 1.63338048, -0.45172992])"
369,1036,"array([ 1.61483181, -0.43787393])"
370,1064,"array([ 1.67114655, -0.45491764])"
371,1099,"array([ 1.63080695, -0.47011934])"
372,1100,"array([ 1.64898094, -0.42844445])"
373,1127,"array([ 1.64431762, -0.44689588])"
374,1140,"array([ 1.66879072, -0.48591647])"
375,1146,"array([ 1.65544082, -0.41850102])"
376,1153,"array([ 1.64528569, -0.48553496])"
377,1157,"array([ 1.65018641, -0.42572226])"
378,1168,"array([ 1.60862722, -0.4799152 ])"
379,1173,"array([ 1.63596421, -0.44364337])"
380,1180,"array([ 1.65139791, -0.41398407])"
381,1184,"array([ 1.65862978, -0.43976296])"
382,1195,"array([ 1.61816349, -0.46119655])"
383,1200,"array([ 1.65667306, -0.47718254])"
384,1214,"array([ 1.62211231, -0.46839061])"
385,1216,"array([ 1.66757412, -0.42373934])"
386,1240,"array([ 1.65196475, -0.43578145])"
387,1254,"array([ 1.60718407, -0.48289053])"
388,1262,"array([ 1.66077508, -0.49950158])"
389,1282,"array([ 1.60832936, -0.47097752])"
390,1283,"array([ 1.63122752, -0.4491407 ])"
391,1288,"array([ 1.64123191, -0.48064068])"
392,1316,"array([ 1.63171282, -0.49638886])"
393,1317,"array([ 1.61404974, -0.43432625])"
394,1320,"array([ 1.67880735, -0.44675272])"
395,1328,"array([ 1.65098481, -0.4439248 ])"
396,1332,"array([ 1.64230548, -0.43820641])"
397,1333,"array([ 1.69433006, -0.44397428])"
398,1347,"array([ 1.64151695, -0.43289676])"
399,1366,"array([ 1.64252273, -0.46045482])"
400,1397,"array([ 1.62797121, -0.47452864])"
401,1403,"array([ 1.66403906, -0.47376646])"
402,1404,"array([ 1.62222636, -0.47407926])"
403,1430,"array([ 1.67182403, -0.49194335])"
404,1445,"array([ 1.65512648, -0.41556046])"
405,1459,"array([ 1.59976057, -0.45571444])"
406,1472,"array([ 1.67322625, -0.4945191 ])"
407,1476,"array([ 1.61796426, -0.45585838])"
408,1486,"array([ 1.6638765 , -0.44916868])"
409,1507,"array([ 1.61190121, -0.45725424])"
410,1516,"array([ 1.6438535 , -0.43603441])"
411,1521,"array([ 1.65043808, -0.44161285])"
412,1526,"array([ 1.61760978, -0.44677216])"
413,1533,"array([ 1.64190865, -0.50310982])"
414,1534,"array([ 1.63832762, -0.48138957])"
415,1538,"array([ 1.68583306, -0.49040492])"
416,1549,"array([ 1.64316163, -0.48255836])"
417,1550,"array([ 1.65239169, -0.50240436])"
418,1551,"array([ 1.62167847, -0.50981936])"
419,1558,"array([ 1.64837379, -0.51309091])"
420,1572,"array([ 1.64581292, -0.45737808])"
421,1573,"array([ 1.68394413, -0.44673125])"
422,1577,"array([ 1.61252342, -0.49878739])"
423,1578,"array([ 1.63407566, -0.44334027])"
424,1590,"array([ 1.62832613, -0.46002573])"
425,1603,"array([ 1.65032367, -0.4386338 ])"
426,1642,"array([ 1.6234603 , -0.43717509])"
427,1650,"array([ 1.66667404, -0.46338033])"
428,1655,"array([ 1.67752974, -0.48582365])"
429,1662,"array([ 1.63443415, -0.48042487])"
430,1666,"array([ 1.6857468, -0.4845238])"
431,1668,"array([ 1.64019011, -0.46865274])"
432,1675,"array([ 1.63298782, -0.52219512])"
433,1677,"array([ 1.60963901, -0.4733556 ])"
434,1699,"array([ 1.60586602, -0.46834186])"
435,1704,"array([ 1.67972691, -0.46747762])"
436,1729,"array([ 1.67060307, -0.47317134])"
437,1737,"array([ 1.65227807, -0.44829603])"
438,1752,"array([ 1.61166538, -0.45429068])"
439,1764,"array([ 1.63893186, -0.45721466])"
440,1768,"array([ 1.66840725, -0.44625992])"
441,1770,"array([ 1.66763005, -0.44335016])"
442,1788,"array([ 1.62991697, -0.43048645])"
443,1798,"array([ 1.68115186, -0.48892938])"
444,1819,"array([ 1.62656889, -0.46384438])"
445,1854,"array([ 1.6802031 , -0.44021294])"
446,1877,"array([ 1.66121419, -0.49538137])"
447,1891,"array([ 1.63515816, -0.4960092 ])"
448,1895,"array([ 1.64095827, -0.49977011])"
449,1898,"array([ 1.66578811, -0.45363442])"
450,1940,"array([ 1.63009031, -0.46676838])"
451,1941,"array([ 1.66618202, -0.48622846])"
452,1951,"array([ 1.64592901, -0.47411779])"
453,1952,"array([ 1.65648254, -0.50151784])"
454,1953,"array([ 1.61425288, -0.45618001])"
455,1965,"array([ 1.63809351, -0.49753086])"
456,2017,"array([ 1.65426305, -0.47122271])"
457,2018,"array([ 1.60534594, -0.50332641])"
458,2058,"array([ 1.66022581, -0.46944644])"
459,2061,"array([ 1.63450735, -0.49972264])"
460,2062,"array([ 1.66737034, -0.45600331])"
461,2068,"array([ 1.66448794, -0.49004504])"
462,2074,"array([ 1.63760391, -0.45941575])"
463,2077,"array([ 1.63649788, -0.49209337])"
464,2079,"array([ 1.6506757 , -0.46833969])"
465,2129,"array([ 1.64529759, -0.47697255])"
466,2148,"array([ 1.66786856, -0.47333251])"
467,2151,"array([ 1.66732748, -0.4895955 ])"
468,2153,"array([ 1.67481986, -0.48943825])"
469,2169,"array([ 1.61484055, -0.47184188])"
470,2172,"array([ 1.6285043 , -0.47801175])"
471,2183,"array([ 1.61370909, -0.48452319])"
472,2190,"array([ 1.65582638, -0.42943168])"
473,2223,"array([ 1.64931104, -0.48786179])"
474,2230,"array([ 1.62593535, -0.4933895 ])"
475,2231,"array([ 1.61571256, -0.46162362])"
476,2255,"array([ 1.66923289, -0.45949106])"
477,2275,"array([ 1.63757474, -0.42628097])"
478,2293,"array([ 1.64030426, -0.47704755])"
479,2322,"array([ 1.61757549, -0.47719036])"
480,2327,"array([ 1.61502677, -0.44652043])"
481,2332,"array([ 1.60498093, -0.46255922])"
482,2344,"array([ 1.62070079, -0.45542271])"
483,2393,"array([ 1.66876049, -0.46762765])"
484,2415,"array([ 1.61135963, -0.48223437])"
485,2416,"array([ 1.66261533, -0.47119549])"
486,2420,"array([ 1.67560439, -0.50646507])"
487,2423,"array([ 1.69812337, -0.45744136])"
488,2424,"array([ 1.6378404 , -0.50160384])"
489,2427,"array([ 1.64055395, -0.49467002])"
490,2493,"array([ 1.62239057, -0.46617658])"
491,2543,"array([ 1.64955839, -0.48061069])"
492,2579,"array([ 1.67140465, -0.46543962])"
493,2583,"array([ 1.64548632, -0.47175068])"
494,2617,"array([ 1.61039533, -0.43384956])"
