# index, name, _pos
414,8472,"array([ 2.92147534, -0.8850366 ])"
415,8517,"array([ 2.93447812, -0.86247944])"
416,8560,"array([ 2.75940777, -0.85679288])"
417,8750,"array([ 2.80678382, -0.86357091])"
418,8767,"array([ 2.83815649, -0.92508245])"
419,8814,"array([ 2.95982052, -0.9454084 ])"
420,8831,"array([ 2.9669139 , -0.91054907])"
421,8858,"array([ 2.86631501, -0.98200865])"
422,8877,"array([ 2.94632533, -0.8763375 ])"
423,8917,"array([ 2.90838482, -0.90196227])"
424,8974,"array([ 2.91749251, -0.87445841])"
425,9066,"array([ 2.96421555, -0.90175027])"
426,9116,"array([ 2.87715915, -0.9676266 ])"
427,9171,"array([ 2.83044091, -0.99468656])"
428,9213,"array([ 2.91482495, -0.87136582])"
429,9235,"array([ 2.85982988, -0.86146054])"
430,9359,"array([ 2.7436984 , -0.91493395])"
431,9379,"array([ 2.9028814 , -0.95190344])"
432,4,"array([ 2.7851922 , -0.84612231])"
433,27,"array([ 2.76171704, -0.89475684])"
434,69,"array([ 2.77349086, -0.91672199])"
435,201,"array([ 2.77324602, -0.89813059])"
436,233,"array([ 2.7796614 , -0.90456523])"
437,274,"array([ 2.7855519 , -0.94106772])"
438,327,"array([ 2.83063322, -0.9510075 ])"
439,738,"array([ 2.75932835, -0.91856216])"
440,4065,"array([ 2.76181301, -0.93934057])"
441,4473,"array([ 2.80501338, -1.03618052])"
442,121,"array([ 2.80417398, -0.84472919])"
443,6,"array([ 2.85843014, -0.86756583])"
444,35,"array([ 2.86490475, -0.90386047])"
445,68,"array([ 2.82415809, -0.84227337])"
446,72,"array([ 2.85121594, -0.87057183])"
447,73,"array([ 2.83967129, -0.89889415])"
448,74,"array([ 2.8262844 , -0.87753648])"
449,77,"array([ 2.8212589 , -0.86017114])"
450,86,"array([ 2.83148561, -0.90608907])"
451,94,"array([ 2.82096597, -0.84609274])"
452,98,"array([ 2.77208375, -0.87937894])"
453,107,"array([ 2.85093831, -0.80247589])"
454,117,"array([ 2.82179023, -0.87386239])"
455,122,"array([ 2.85141564, -0.90023022])"
456,125,"array([ 2.87672619, -0.84353155])"
457,133,"array([ 2.86603405, -0.86317969])"
458,135,"array([ 2.87225507, -0.89459694])"
459,154,"array([ 2.78910372, -0.8962685 ])"
460,156,"array([ 2.85082048, -0.91374489])"
461,164,"array([ 2.8450873 , -0.86847867])"
